champion_name,champion_id,post_mentioned_times,comment_mentioned_times,post_positive_score,post_negative_score,comment_positive_score,comment_negative_score
rammus,33,34,91,0.7334982307060905,0.8903578966856003,0.5280099104655505,0.6315672513726469
rek'sai,421,0,0,0.0,0.0,0.0,0.0
rell,526,103,86,0.0,0.0,0.40661902225480906,0.6303040044648306
renekton,58,141,94,0.0,0.0,0.23941831706690705,0.30906078722569846
rengar,107,27,89,0.7815443025119062,0.8916142008653501,0.08396622191048343,0.0
riven,92,41,122,0.6384203485820603,0.5400364428031735,0.18517306499683395,0.0
rumble,68,239,464,0.0,0.5063063342396806,0.0,0.0
ryze,13,98,254,0.1300003170967102,0.0,0.4230160986998056,0.3528109456037546
samira,360,60,135,0.41867156909859704,0.6168670770598621,0.0,0.0
sejuani,113,9,29,0.0,0.0,0.506987491049952,0.6261258342049338
senna,235,163,340,0.18947281526482623,0.5305904004631973,0.5108058018734937,0.0
seraphine,147,112,167,0.0,0.494799265047399,0.43341451104032697,0.3067892302166331
sett,875,76,177,0.17620555836221446,0.55410425837447,0.0,0.0
shaco,35,53,180,0.7588984900626582,0.8441570819151111,0.0,0.0
shen,98,30,194,0.6902228508306586,0.8639860683824957,0.45256118787051086,0.6388905203187619
shyvana,102,20,51,0.652460167200669,0.533413043836268,0.0,0.0
singed,27,34,97,0.7525029638539188,0.7871683276281124,0.272602982740099,0.33160750587265214
sion,14,81,194,0.1843823235967885,0.5559736054118086,0.0,0.0
sivir,15,12,50,0.378192867403445,0.5677611944152088,0.6832895706483416,0.6557718979847895
skarner,72,23,45,0.48560213368871935,0.5487673166321545,0.1760648160435707,0.0
sona,37,35,138,0.7035889045051906,0.7672397646962144,0.38701674373748024,0.0
soraka,16,39,157,0.7295776393102563,0.7940950368235751,0.1809277294381347,0.0
swain,50,42,111,0.38662533552750294,0.5512221702715246,0.3756454231039795,0.0
sylas,517,121,223,0.36452531762745066,0.5463199644553952,0.37198355130509014,0.0
syndra,134,72,103,0.37615976178127786,0.5534785404437925,0.42615241633708406,0.6896228519352998
tahm kench,223,0,0,0.0,0.0,0.0,0.0
taliyah,163,17,39,0.0,0.5006650599037729,0.3820301117408402,0.0
talon,91,53,90,0.0,0.0,0.17643043472573108,0.0
taric,44,19,73,0.6817852906558824,0.5671937000460741,0.18943491420139272,0.0
teemo,17,50,137,0.7419989109039306,0.7841223024013566,0.3679396495381008,0.0
thresh,412,181,154,0.10654889345169066,0.0,0.18673419362664645,0.0
tristana,18,152,144,0.0,0.5238573580253415,0.4006421431214565,0.34555457474349377
trundle,48,20,45,0.6833162893419679,0.7977937521730982,0.620484282608167,0.6429964141412214
tryndamere,23,25,63,0.7314085296962571,0.7895622202535955,0.3654517729375051,0.3106402112292005
twisted fate,4,0,0,0.0,0.0,0.0,0.0
twitch,29,70,200,0.011644140533778978,0.0,0.0,0.0
udyr,77,195,269,0.0,0.5311363499339034,0.0,0.0
urgot,6,56,101,0.4905903297921886,0.5590933415947892,0.39900068133121663,0.0
varus,110,87,108,0.0,0.50210887339057,0.0,0.0
vayne,67,63,151,0.4143414834271307,0.6169473688776901,0.46156176177014735,0.3124888872171377
veigar,45,26,119,0.7475983059924582,0.8354184903749605,0.36581720838277165,0.0
vel'koz,161,0,0,0.0,0.0,0.0,0.0
vi,254,26,43,0.0,0.4973373325859628,0.17770954366286315,0.0
viego,234,111,149,0.0,0.0,0.0,0.0
viktor,112,93,131,0.0,0.5364713290842568,0.4267536279590728,0.7133816689639895
vladimir,8,16,44,0.739022658354994,0.8237469247201593,0.6049672657946394,0.6195406426082957
volibear,106,72,95,0.17866519482239435,0.53661708424731,0.36230087364520286,0.3138811835994968
warwick,19,22,69,0.39446848268094264,0.569514530461009,0.1763445244239834,0.0
wukong,62,28,52,0.0,0.509536368090932,0.3812719869950635,0.0
xayah,498,72,76,0.0,0.5094686368616617,0.0,0.0
xerath,101,31,108,0.7673275387805442,0.8357024618038317,0.5923736072260584,0.6544435264228226
xin zhao,5,0,0,0.0,0.0,0.0,0.0
yasuo,157,114,346,0.43215955858645233,0.8019854887956526,0.0,0.0
yone,777,110,279,0.4329072988551596,0.8151753261321929,0.0,0.0
yorick,83,35,146,0.6692737263181935,0.6030066856523839,0.18373045567488924,0.0
yuumi,350,55,221,0.8114382622898488,0.9131002091779943,0.2047834969240869,0.0
zac,154,16,66,0.7238717331402542,0.8103818835281743,0.6049687896094981,0.0
zed,238,88,209,0.7010335792665896,0.8468294496216426,0.0,0.0
ziggs,115,18,62,0.7267454252726789,0.7908334092396061,0.6590197162156392,0.6428039282947391
zilean,26,17,108,0.7592182662176048,0.811068116528232,0.6157280771134178,0.3045636353554664
zoe,142,78,143,0.0,0.5294181660908025,0.0,0.0
zyra,143,24,74,0.7966463460438494,0.9110503538352687,0.6346791216004443,0.3480748797391916
