,summonerId,summonerName,leaguePoints,wins,losses,rank,accountId,winrate
178,xYpkxHGwriYUQj2FzV3R6OlLVoS6ri9EMp53rPf_YSr70Iev,Je Me Lache,650,93,76,Challenger,-Kvms8pQNHoose9DO2lWoPz5ESrKyI1a_aw4Cref-giKxC1rNwPBs2uQ,0.5502958579881657
179,9KicclE-2ZLkb37qqBqfKQ-aPgPskqP70uKZz23I-A7qwvE,Qitong,943,185,153,Challenger,C1mq9RtKjR6BErhKk2rxuhw2rEFrzOvQaNr_r_RlUvDmCg,0.5473372781065089
180,ac7-9zRTVNtpHWc1F_vHlGPjE9_JCWpTr2mjhZ9_p5b0UWo,IPlayYouListen,619,109,81,Challenger,P0q4G1dM7b2Fiebe2rj7LHef2_HVRI8EywQo8zHkrY0W6A,0.5736842105263158
181,PKfiz5COAx_n6oO9WH0G95NQ_BJsunXgkOuEGFpZZ9UiPA0,Pockus,705,374,359,Challenger,tpFzpWwy2qcztaMbd1VEIfvLDT7g5Rta767PnkKhQtXLuw,0.5102319236016372
182,K5X9xDjIor7ZpbIupjyRhqSpNGR7aCLMRotF8KInh9CF,Nyanic,642,317,297,Challenger,7eKr6S68008k_eiq0uucu1xuiRmCR5napAkH0ZdRA-E,0.5162866449511401
183,6B8iRyZnM5LlhBnILaGK0u1XlOziV6K3egUV1075EBQm_kM,Amaso,744,292,270,Challenger,IsT18t0y6uuclSXgGKvFIm7e8gHZKsVScJwaAmPU9psanw,0.5195729537366548
184,n6CE9QlGD4Ui9eeSMF2mfN7fDGS83z73KQVp-2hBYFicY_MjxgHuBYrmmA,snowfieId,651,98,74,Challenger,uC7P_fsWQk0eFDUBkN5Xid5UC6qcFF4CAW7HA4vfwyQS8-HLSTPGICM3,0.5697674418604651
185,BCgTbT3-9UhtOolWWPjvqByEivD_5javNO9wIvDnqLkjX4g,istupid goo fan,754,231,212,Challenger,xv7gcVfO6Oan6noZE0rwm93Nkco8y0AY7kqba69WB8giec0,0.5214446952595937
186,BraqFlXCMHBdo9GYxH04Auv4SXLNVEUe4zxDnW9BFodigsg,DARK WlNGS,629,118,102,Challenger,rBQpvx6v-CmpN2qSXouuQkKdlQQ81Le-ThMYrRnEkNxMGg,0.5363636363636364
187,z_xMapPkQPV7khyq69B1la4OSp6xO51TCZI3KStMNfCRkzg,NøticeMeSenpai,739,216,194,Challenger,FgE_9RthYy69UG20Nm-bqr0ElvOhznqH6But4od5hst8794,0.526829268292683
188,rDLfYMWqZ0_MjsJd0VcMcW2Ts1HxC1cadbEODg9SmoYd_xk,Ethiridis,628,207,184,Challenger,stYGosqzWsAa7yrH3nvUuPfMo2IAL5NNRZhnAg7KDUT__w,0.5294117647058824
189,QMlnbLzP27xd_KNsR2gNwU7iqfHTV8jl2rvwCOfRxN7dIQo,c2 meteos,681,272,255,Challenger,H0iph4htLF8CehcX6uS1j_ZEQWuUZLvTqSFjz9xxbjtwe4o,0.5161290322580645
190,t9zqIUIbZayg843AHmP1VuzJQYvTfmLf545oqiNgLC3-jYKRIpp46zrAVQ,GG Swip3rR,683,319,286,Challenger,IoUU_VNQlc333oU00389a6HP4zf40fme3YsF9MD0K-0GluRtFm3zDPwm,0.5272727272727272
191,t94Is9GveQjHUzl8oZVE5ryhtPVAiRKzl3lelbocKYaC-CE,Cylainius,639,442,418,Challenger,Q-_GFiCHU9CXZfzS-DFBoGbzekl-K_gxIz3xmJqY4RXwGnU,0.513953488372093
192,nqRxf60hwvzy1m7n4b0OV-VzwdgzNulGuQSBTb0FM_bkddI,ask 4 soundcloud,650,397,377,Challenger,f5XX5LkKRu3I-9M6y1SZXiunorxgBXp9q_w-lMn2sdaYZQ,0.5129198966408268
193,9b__720lR7RJ3eIzS9OTOtxTD89u-weX64C7Cz8j0qr4-kSX,youngboy,620,191,149,Challenger,6V-gUFfpi_oQy-k0YOFfci7cNl8b17cJaPOc4z2pcTUJXJPi9_cPmiQl,0.5617647058823529
194,C3KnDmMI-nID7Yjc1V1qwH2sm1tmoIq0tLGgubaOV1CRHXXG,From Iron,1576,325,252,Challenger,lJJCN5acG6WHuTmn2H6HcZXfmEeiX16XZr7Z-KejuUO_O-TK3TjDVNsW,0.5632582322357019
195,ZtUPWr4BiLnRvF6GwpzIUa3dF5hxeS8wnBiTSF8-M8TCRKU,Strompest,717,204,169,Challenger,ZbpzqbNSsdItFUqPf6jdpTyqpgM63kk2KBjzAtfz-xB4xf0,0.546916890080429
196,IHicwagkLzeWnbQ1WVrAqSxn1n_-lP-9eVkQqrK93dLzFo4rgJItqVBV_A,FLY Josédeodo,1575,204,157,Challenger,sSR7Ez42HfvnHBCf3qprYz3nAZanLx9b1o1on_al-CwXVn1m-LUmkpdG,0.5650969529085873
197,CWvut8TZwDjOTnUqUioau8Zn2LA7x41bG7seDMyQBcg9Tr5l6GuyEaf0sg,quantumfan,641,236,222,Challenger,0A1Z--Et9jkgQT0Ld_YPbBcjzl1ErtDZ1Dk_KrJqg9LLzM0a_cNp1CrY,0.5152838427947598
198,xOgMIMfnoI6-_jUxwR548F4MARdWtaZKAyCUcLA5EtVkk_03QmYDQ1mBRg,sigyetaeyeob,707,199,157,Challenger,ZRnE5qihMOxLfPtSWBN7vEhMSCxB_M2rs3ssVGBIwAwRF0S7JyC2dUsv,0.5589887640449438
199,Hz0cfqCQ-j2x0JKdk8fkdinUYZxHsCoPmaxSPW36BmMUtWU,Mario Sunshine,771,251,215,Challenger,5amjTU4eBHl1A75VNuRrEFyJ-KKvhDB31fyHs3gP6JuqSw,0.5386266094420601
200,xMNW80XWLEOopPs971WJyJZkaZ6M8SHiG2BaMSVe1em6_PM,Nim Chimpsky,678,265,246,Challenger,DdjZxDyy_uJCJCU4tPvx2XwOFqNnyAhi03Ilk3fH-VWLhuo,0.5185909980430529
201,CLZzBoEMCc6XKz6TYChleSZdOgUSNC8hUflc5fS_aT9qFRQ,Feather Daddy,796,349,327,Challenger,03h23l0qUIsaaixoPk8zUuHmIPOnmADdFP_wA5KFWJG7zw,0.5162721893491125
202,ze-jZqdd6HFEq_8c5-XO3dgQU4W2BkHnmuKpa7XjCvS7T3U,Vex AD,831,365,320,Challenger,d8pHN5pCompC-D-nVtFnQo9j4FkL4ubjS_uPHHLNo97f1P4,0.5328467153284672
203,CQgRwPicbM-ukSR6QcPOgQWGXm2Hmhbb0mzSr7gD4kCG2eM,shiny wyd,670,338,328,Challenger,XlRavwU0oYnkV0xKw45NBPuIMiAZr1-XbqIHwVr_LhDhcas,0.5075075075075075
204,vuI0T0zi3ALzv23w7USAOxtXHXKwiIyanHQUXRVn52kM1_I,DanasaurLoL,667,257,234,Challenger,N9fanyOBuRwPHMiLk3iEiRsdE9QKo31FhKuAH0EB_BLKUcQ,0.5234215885947047
205,_XC2idBAUOanyT9ksLU6IYdLgAgXt4j7JbdtfP04L5WG5iTF,o fafa o,638,350,262,Challenger,i4rEC-EjqZLyXb-1ICONKgvh4YISY1eJOW2qrtY4x19ib8HBllh6zdzh,0.5718954248366013
206,U5VpB39K1__KAd1t1_PgwCESlxe3s-VDzK6OhP5Pul1I4YU,rjsdndgod,713,382,362,Challenger,W5Cu1OXQewFu7x90CSaNvnJmBZLH5WAg4PIjM9Sth54tcpo,0.5134408602150538
207,1IPcDc7Fg-5DBFhHFsKRgeQEJ7M_K1LsCz1WUSCouXN-CCQ57KXunQr4Yg,Eyla,952,168,124,Challenger,LzVM0uVltD_5Hd0l0tZaomSvC_uUeQO_cY7NeNvC9D9icE9SJJWUgvw5,0.5753424657534246
208,LNsx_zz71BDl1zda3W5t3nVFX4DGlLRBjNZiKo4nsRPQ0d4,Good Boi,1138,326,280,Challenger,oihD95aK-m66WZRpTEW3HXkQiQbzz7Xr3GuQ3nJ0Sh7QFg,0.5379537953795379
209,kV7yvXtm-Oz4eQLn32_4SG7HcroQ5ypI2KFwkSJ2Au0DgpI,CyanInkstone,661,293,270,Challenger,gKSjiIH1vloxgS7vFlxWfeBmjxjdGRzwhC0hKJwotcsyqgk,0.5204262877442274
210,OFQub5ZnkJuldVqdiAPrGR0OBJn63VF68yqsGvH1VokWqKI,Not Cupic,644,101,78,Challenger,VQWBJgOt43x04UsO2HCCGtEyfQyfsaLykCLdhF6PL6rWopM,0.5642458100558659
211,dnhivI56itA4a_q7qaphdELXNlQZo7LHvfltwoBhhPvAJYY,Neøø,718,181,152,Challenger,Al7PvDXixPRfTR_jzWGu_Z-sAV7aCJiwvEehruVqwpN5a3A,0.5435435435435435
212,F9FiSui9MpS0jXS66APvHad-2zF7MQuf8U3F6PGEK7V8gi3k,Râpid,823,329,282,Challenger,-U5NtbAQRsjtZVklbDMxAXnE7nvM7nZbySUV4VGHc5GjpmCowDfoxNjF,0.5384615384615384
213,eT2uNJDq133eif4unABwUOd_TfV1Mdgn9xksWwDpG-P6_q4,Selfléss,713,155,131,Challenger,_IR0mcOZqQzTk_Y7OrdupxJk-xNSQTcYRhzIq52pBJ5Wrmw,0.541958041958042
214,a39iiSW0IWy1sv7UrVDPyAKH6T3RvImNorbUP9llvcgWgEY,TwitchTv Jugttv,926,174,141,Challenger,cBOoCMhjdEmfl9r_AzPiLiDbk_vdLo0gmuvm-OjbSlXNpiM,0.5523809523809524
215,qml0Oe0wNgS8bTT20FIH_V7sQHlMdcFawPNsqomTYJoQuMU,Z Score,634,131,107,Challenger,Bjos7TSToA_3gcP3UwqtyxFmOhELgfEem-CmP9YRQinyP4s,0.5504201680672269
216,Fux4cRLVUOeE7fFghEHDSmihTrvPIB0XBRQEcZPeOKrOlvc,ChuChuZ,838,282,253,Challenger,L34ELvWCuMDwEDk73U2mUQbjjYYHRzPbEKfJjnUi4h4UHQ,0.5271028037383177
217,C6fvTx-0h1TBmOwKGUfYGQfC3KD6cU6xqwBGBqRM6guJ3HQ,Kyle Manson,855,245,205,Challenger,h1PfXaxvDLA5pKS0aIGWXWQRKioSR5Qaojc8vHL6GjxROVI,0.5444444444444444
218,RzS06--a4A51yXTZNQep-tcfne7fNbN9pOSH_eNU6X87,Yasinn,618,238,214,Challenger,XHe3Y6-1GPZEJE5mUtSyDqCy9arokQqFvTovqGU-7zs,0.5265486725663717
219,La6ZM3WDD-piCeWz64T_WHIvmcA2ILLYlSwcd2erBRD5VsI,Acoldblazeolive,621,94,83,Challenger,4w7fYRKOWVtUxfhVRmC_HiIsHsi_oAxde4RGK6bcZW5XuQ,0.5310734463276836
220,xkvhucojMbpNKoDrbeHnPbarQm8vEWMa457hCpXGfANEIVk,love wyw ,662,181,155,Challenger,,0.5386904761904762
221,V6zQu1p3j-UAx-cqXX-tFMpyk7BC0gUhNIxSO2bbeU5fBQU,Zyko,841,292,238,Challenger,xn03vWoyNKMVbv-2HNck-86nparTMjcl6XWsUrbL4NWueyQ,0.5509433962264151
222,LqcpaeOFPS4kObKhGMmezwu5ahQPPpc6R_rjXa1W7UjPY-Y,billyyyy,906,114,79,Challenger,tPgq7yaKUYtbgu5KST4iOPXs_LurphctSEFB05L72wN51A,0.5906735751295337
223,CXZQwwF3oqtuKnfmfsebO9S2DeY6CvPwIIrxuf6AOORveSM,minui,741,286,260,Challenger,_jDxAYYZqrXuS7d9nzKJ26L0M65LgvPDR4i8xiBClFHoCwI,0.5238095238095238
224,nvE8ss0v_xXlNOhNj8M9WW2qKR6YuxHWrMW25TqqIVvZj7w,The Tank Man,625,332,321,Challenger,FmOMDcv8qk9T7BW5RH8P0AOAu6aHyRTM5uhJDwAbL9id-8c,0.5084226646248086
225,76BJ4RmzEsj_G5EmowsibAvZNPe8uKgJU5Sg0sl0pyFpo5o,MaRiTiMuS,662,86,57,Challenger,V5qMgmf282TpxZk58RylObxE9bwYrCZgaySNDd3tQ_Sp_Rk,0.6013986013986014
226,am2ofVW1k-ZwfszS8dGSx4uDABBdYtVGXNgw0C_K0RrwT8U,bradleyyy,1109,325,286,Challenger,0cF9SC-kkB_TFpTpDAJgvIFtvPoL1pTqVT8_XAauc_A5JQ,0.5319148936170213
227,tkTijnrzGhiKeaC5palGIz8gbKTiAqQOnlsoawe3bG2fDRPY,Asyc,1047,647,605,Challenger,Zmb69j6cxR0YGPbgOzbtBKLsozMclbb4DmhXTO3UbmkHvn6zkYjRhgf_,0.5167731629392971
228,Bl3Fr6xW6DspqH1laKTN7enlNhnV0_YoS9iXYlF6OQSAuXCDqUI398TR9A,IlIlIlIIIl,1401,115,62,Challenger,5RF8PGlfRxdXtlneLBhHxHL8QGN3UOJM7e77W7tPcTlDwBmchvEHr5Yn,0.6497175141242938
229,tarPpzV0dGQG4vFfZE8QWx1u5g_BvV0KYyDOGIv9eUCSSEvZ_LHbk2JLbQ,rocketf1sh,780,133,106,Challenger,l6dyRKQqJYYWm22xcq6VJobYuyhpptc7FzgyqI9EqTW5Y0Ks249CZ4U7,0.5564853556485355
230,BdiylmsYhHHtW-8croKhPSnMdhwl-qDuKjXrOZHGksmpwBnG,Sheiden3,636,142,113,Challenger,8LyYO8-P_zgH-0zv0lNiCL0cnM0hcAkhWXX0-HMBmEhbBoiR11yikeRy,0.5568627450980392
231,lKSlg85q8QRrBlRReqdtq9chlYyUYdD7jW_f_EwSOVkHnqM,TheRealPhilip,899,278,238,Challenger,RUyyAyocXmADdWvjELAiknuad7HSjP7N2dcOGCDc8mDdrPU,0.5387596899224806
232,SEUrPQFHwv3DXQBkcBaKGf7v8GxEwAVGvUneDFjqFISfEjHr,FZXT,723,153,114,Challenger,Fx1Cja7PTITBBGJovw6zHsjHwaWwWzkpobMVxdHbEUx1Sr-RITOlNsaJ,0.5730337078651685
233,kwGGU3u0Dm7KdUY9vMqypSQNuJTAnCQ2DjAbcFgzfl-jwR4,Diuuuuuuuuuuuuuu,758,240,207,Challenger,1knf020rgEpEwOFBs9aL0-QGNjsCtSc-PAP4cc1H5v21BX0,0.5369127516778524
234,1y4n9mFGyONdh1BwkK1JGEG536HjXfieUEPzf7qJns-Lfbk,Spawwwwn,720,225,209,Challenger,rTTCluE6zye4F1A2pP2K0x1n7jRvlNtMKmGkViygffO0yA,0.5184331797235023
235,UmIWSaSR5Cb-p2ErbcEb-BXa9WDdzl7wkccJxrXKxFrqm8g,Nikkone,930,144,109,Challenger,VZEWdsiAZFKnc0lVqFRulu8lqXKfqKWiUe4FNOVZJ-PlWw,0.5691699604743083
236,WzMGi4fm_O-B90ggxf705SoKBPS3SU6FFkPLXPKGH7pVHqI,Pseudo,725,210,184,Challenger,I20Cm5TKALVBbz9z3iWhrDA0ByoZZWFGP3WK_AlgzYRjnQ,0.5329949238578681
