champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_first tower kill,counter_first tower kill,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Varus,Miss Fortune,110,21,2.45,2.28,0.5457,0.4543,0.466,0.446,19530,17660,0 days 00:17:48,0 days 00:17:36,0.4753,0.5247,0.4991,0.5107,0.0774,0.0356,0.0151,0.0012
Jinx,Senna,222,235,2.52,2.86,0.5217,0.4783,0.465,0.497,17841,16118,0 days 00:17:58,0 days 00:16:35,0.5204,0.4796,0.5083,0.4795,0.2215,0.0107,0.0857,0.2869
Varus,Caitlyn,110,51,2.58,2.19,0.5626,0.4374,0.464,0.42,19512,16690,0 days 00:16:55,0 days 00:17:35,0.5047,0.4953,0.4991,0.5039,0.0774,0.0868,0.0151,0.011
Draven,Lucian,119,236,2.09,2.51,0.4424,0.5576,0.453,0.47,19141,17856,0 days 00:17:12,0 days 00:17:48,0.4665,0.5335,0.4987,0.4691,0.0193,0.0479,0.0035,0.0429
Kai'Sa,Caitlyn,145,51,2.72,2.33,0.539,0.461,0.465,0.449,16868,17847,0 days 00:15:40,0 days 00:18:00,0.4993,0.5007,0.5018,0.5039,0.3738,0.0868,0.0619,0.011
Kalista,Varus,429,110,2.18,2.43,0.4829,0.5171,0.445,0.478,15446,19061,0 days 00:17:24,0 days 00:17:04,0.526,0.474,0.5042,0.4991,0.0196,0.0774,0.0029,0.0151
Caitlyn,Tristana,51,18,2.27,2.56,0.4592,0.5408,0.444,0.457,17615,17103,0 days 00:16:50,0 days 00:16:05,0.4975,0.5025,0.5039,0.5021,0.0868,0.0967,0.011,0.0502
Swain,Kalista,50,429,3.25,1.91,0.5867,0.4133,0.529,0.457,19807,15310,0 days 00:16:25,0 days 00:17:04,0.6183,0.3817,0.5593,0.5042,0.012,0.0196,0.0096,0.0029
Kalista,Kai'Sa,429,145,2.27,2.71,0.4775,0.5225,0.467,0.491,15989,17400,0 days 00:17:24,0 days 00:16:26,0.4946,0.5054,0.5042,0.5018,0.0196,0.3738,0.0029,0.0619
Vayne,Kalista,67,429,2.26,2.31,0.4636,0.5364,0.461,0.478,17700,16949,0 days 00:16:05,0 days 00:17:54,0.5213,0.4787,0.5094,0.5042,0.1034,0.0196,0.0528,0.0029
Tristana,Yasuo,18,157,2.54,2.0,0.4965,0.5035,0.478,0.445,17847,17322,0 days 00:16:33,0 days 00:16:56,0.5024,0.4976,0.5021,0.4872,0.0967,0.0075,0.0502,0.1144
Senna,Aphelios,235,523,3.09,2.01,0.4583,0.5417,0.521,0.437,16377,18458,0 days 00:15:51,0 days 00:18:26,0.5627,0.4373,0.4795,0.4687,0.0107,0.0365,0.2869,0.0039
Jhin,Swain,202,50,2.71,2.64,0.4678,0.5322,0.506,0.484,18232,19561,0 days 00:18:11,0 days 00:18:03,0.4487,0.5513,0.511,0.5593,0.1309,0.012,0.0033,0.0096
Kalista,Yasuo,429,157,2.31,1.9,0.4972,0.5028,0.485,0.441,17244,16810,0 days 00:17:00,0 days 00:16:58,0.5232,0.4768,0.5042,0.4872,0.0196,0.0075,0.0029,0.1144
Jinx,Tristana,222,18,2.39,2.69,0.4364,0.5636,0.47,0.471,17356,17449,0 days 00:16:10,0 days 00:17:02,0.493,0.507,0.5083,0.5021,0.2215,0.0967,0.0857,0.0502
Ezreal,Lucian,81,236,2.32,2.4,0.4593,0.5407,0.442,0.45,21845,18427,0 days 00:17:07,0 days 00:18:12,0.5001,0.4999,0.4785,0.4691,0.2779,0.0479,0.0323,0.0429
Tristana,Draven,18,119,2.52,2.14,0.5061,0.4939,0.469,0.451,17140,18199,0 days 00:17:03,0 days 00:16:33,0.5178,0.4822,0.5021,0.4987,0.0967,0.0193,0.0502,0.0035
