champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Taliyah,Elise,163,60,2.57,2.78,0.539,0.49,17484,14558,0.4721,0.5279,0.5241,0.5268,0.0269,0.1231,0.0032,0.514
Kha'Zix,Vi,121,254,2.53,2.37,0.488,0.472,16928,14058,0.4786,0.5214,0.5083,0.4944,0.0498,0.0131,0.0054,0.0008
Olaf,Wukong,2,62,2.17,2.92,0.473,0.48,16236,14348,0.4427,0.5573,0.4805,0.4928,0.0198,0.0079,0.0127,0.0097
Lee Sin,Master Yi,64,11,3.02,2.03,0.529,0.472,14673,16062,0.5215,0.4785,0.5123,0.466,0.2982,0.023,0.4717,0.0052
Rek'Sai,Jarvan IV,421,59,2.7,3.2,0.532,0.592,14912,12313,0.5066,0.4934,0.5038,0.5015,0.0507,0.0237,0.0542,0.0007
Sejuani,Morgana,113,25,3.0,3.3,0.508,0.531,11877,17733,0.434,0.566,0.5138,0.5135,0.0168,0.0793,0.0009,0.485
Trundle,Rumble,48,68,3.03,2.73,0.502,0.519,12287,18847,0.5218,0.4782,0.4991,0.4892,0.0085,0.1175,0.0007,0.2828
Vi,Rengar,254,107,2.6,2.2,0.453,0.473,14848,15373,0.5683,0.4317,0.4944,0.4819,0.0131,0.0086,0.0008,0.0111
Nidalee,Trundle,76,48,2.87,2.94,0.498,0.496,16641,11806,0.4809,0.5191,0.4819,0.4991,0.104,0.0085,0.0465,0.0007
Shaco,Rammus,35,33,3.33,2.65,0.533,0.487,16068,12365,0.5259,0.4741,0.5114,0.5005,0.0741,0.0151,0.287,0.0178
Karthus,Nocturne,30,56,2.52,2.61,0.557,0.489,25809,15600,0.5157,0.4843,0.522,0.498,0.0283,0.0378,0.0393,0.0236
Nocturne,Shaco,56,35,2.43,2.95,0.489,0.521,15322,15510,0.4916,0.5084,0.498,0.5114,0.0378,0.0741,0.0236,0.287
Graves,Nidalee,104,76,2.35,2.89,0.462,0.49,15018,15944,0.4788,0.5212,0.4524,0.4819,0.0537,0.104,0.0228,0.0465
Kayn,Nocturne,141,56,2.41,2.73,0.495,0.493,17576,15937,0.4784,0.5216,0.4961,0.498,0.0639,0.0378,0.013,0.0236
Vi,Warwick,254,19,2.21,2.86,0.48,0.508,13515,13073,0.418,0.582,0.4944,0.51,0.0131,0.0223,0.0008,0.003
Nunu & Willump,Poppy,20,78,3.17,2.81,0.545,0.497,11660,14259,0.5235,0.4765,0.505,0.4965,0.0373,0.0305,0.011,0.0381
Udyr,Wukong,77,62,2.58,3.06,0.497,0.489,11952,15251,0.3819,0.6181,0.4838,0.4928,0.0211,0.0079,0.0151,0.0097
Karthus,Kayn,30,141,2.45,2.49,0.554,0.494,26282,18990,0.4878,0.5122,0.522,0.4961,0.0283,0.0639,0.0393,0.013
Trundle,Vi,48,254,2.86,2.67,0.509,0.483,12467,14231,0.4864,0.5136,0.4991,0.4944,0.0085,0.0131,0.0007,0.0008
Nocturne,Nidalee,56,76,2.71,2.61,0.49,0.494,14726,15877,0.549,0.451,0.498,0.4819,0.0378,0.104,0.0236,0.0465
Poppy,Ekko,78,245,2.91,2.67,0.504,0.506,14369,16842,0.5179,0.4821,0.4965,0.494,0.0305,0.0476,0.0381,0.0128
Kayn,Lee Sin,141,64,2.3,3.05,0.495,0.536,17225,16085,0.4851,0.5149,0.4961,0.5123,0.0639,0.2982,0.013,0.4717
Nocturne,Gragas,56,79,2.77,2.82,0.504,0.494,15631,15748,0.5409,0.4591,0.498,0.5147,0.0378,0.0191,0.0236,0.0032
Diana,Karthus,131,30,2.47,2.61,0.498,0.576,18520,26045,0.4892,0.5108,0.4855,0.522,0.0876,0.0283,0.0866,0.0393
Xin Zhao,Shyvana,5,102,2.58,2.55,0.484,0.462,17086,17128,0.5486,0.4514,0.5188,0.4748,0.0734,0.0057,0.0173,0.0008
Nunu & Willump,Gragas,20,79,3.29,2.92,0.545,0.504,11712,16027,0.5128,0.4872,0.505,0.5147,0.0373,0.0191,0.011,0.0032
Morgana,Warwick,25,19,3.2,2.26,0.529,0.478,16905,11614,0.532,0.468,0.5135,0.51,0.0793,0.0223,0.485,0.003
Vi,Volibear,254,106,2.36,3.12,0.482,0.491,13865,12240,0.4695,0.5305,0.4944,0.5031,0.0131,0.0147,0.0008,0.0476
Nunu & Willump,Taliyah,20,163,2.95,2.92,0.519,0.545,10248,18670,0.4843,0.5157,0.505,0.5241,0.0373,0.0269,0.011,0.0032
Nocturne,Volibear,56,106,2.64,2.96,0.508,0.491,15217,13166,0.4867,0.5133,0.498,0.5031,0.0378,0.0147,0.0236,0.0476
Wukong,Diana,62,131,2.97,2.43,0.515,0.512,14823,18703,0.5119,0.4881,0.4928,0.4855,0.0079,0.0876,0.0097,0.0866
Kha'Zix,Gragas,121,79,2.48,2.87,0.477,0.473,16437,14729,0.4702,0.5298,0.5083,0.5147,0.0498,0.0191,0.0054,0.0032
Volibear,Ivern,106,427,2.83,3.77,0.504,0.481,11188,8723,0.4731,0.5269,0.5031,0.5256,0.0147,0.009,0.0476,0.0018
Rek'Sai,Lee Sin,421,64,2.56,2.78,0.525,0.536,14685,13830,0.4934,0.5066,0.5038,0.5123,0.0507,0.2982,0.0542,0.4717
Kindred,Gragas,203,79,2.29,2.85,0.506,0.475,17338,14108,0.497,0.503,0.5016,0.5147,0.1107,0.0191,0.0594,0.0032
Sejuani,Kha'Zix,113,121,3.39,2.48,0.526,0.486,12882,16906,0.4993,0.5007,0.5138,0.5083,0.0168,0.0498,0.0009,0.0054
Wukong,Hecarim,62,120,2.87,2.93,0.509,0.523,15942,14752,0.5263,0.4737,0.4928,0.4491,0.0079,0.0182,0.0097,0.019
Fiddlesticks,Wukong,9,62,3.16,2.58,0.512,0.488,16880,13759,0.5905,0.4095,0.5293,0.4928,0.0349,0.0079,0.0151,0.0097
Rengar,Kha'Zix,107,121,2.17,2.33,0.462,0.476,16371,17376,0.4889,0.5111,0.4819,0.5083,0.0086,0.0498,0.0111,0.0054
Taliyah,Rumble,163,68,2.88,2.59,0.534,0.525,18598,18109,0.5421,0.4579,0.5241,0.4892,0.0269,0.1175,0.0032,0.2828
Trundle,Shaco,48,35,2.78,3.12,0.488,0.531,12038,15036,0.5011,0.4989,0.4991,0.5114,0.0085,0.0741,0.0007,0.287
Rek'Sai,Lee Sin,421,64,2.56,2.78,0.525,0.536,14685,13830,0.4934,0.5066,0.5038,0.5123,0.0507,0.2982,0.0542,0.4717
Rumble,Shyvana,68,102,2.83,2.66,0.506,0.457,17910,18242,0.4688,0.5313,0.4892,0.4748,0.1175,0.0057,0.2828,0.0008
Amumu,Olaf,32,2,2.37,2.65,0.471,0.486,12663,17411,0.4424,0.5576,0.4848,0.4805,0.0063,0.0198,0.0017,0.0127
Trundle,Xin Zhao,48,5,2.94,2.29,0.515,0.48,12664,16172,0.5,0.5,0.4991,0.5188,0.0085,0.0734,0.0007,0.0173
Morgana,Jarvan IV,25,59,2.89,3.29,0.518,0.591,16281,12949,0.5071,0.4929,0.5135,0.5015,0.0793,0.0237,0.485,0.0007
Gragas,Nunu & Willump,79,20,2.92,3.29,0.504,0.545,16027,11712,0.4872,0.5128,0.5147,0.505,0.0191,0.0373,0.0032,0.011
Nunu & Willump,Udyr,20,77,3.08,2.74,0.531,0.472,10918,10767,0.5605,0.4395,0.505,0.4838,0.0373,0.0211,0.011,0.0151
Fiddlesticks,Evelynn,9,28,2.9,2.93,0.503,0.513,16508,19413,0.5057,0.4943,0.5293,0.5243,0.0349,0.0339,0.0151,0.0203
Taliyah,Olaf,163,2,2.95,2.19,0.543,0.476,18644,15756,0.569,0.431,0.5241,0.4805,0.0269,0.0198,0.0032,0.0127
Zac,Wukong,154,62,3.57,2.9,0.524,0.513,14158,16103,0.5127,0.4873,0.5129,0.4928,0.0361,0.0079,0.0073,0.0097
Gwen,Warwick,887,19,2.19,2.68,0.465,0.494,16875,13371,0.4484,0.5516,0.4859,0.51,0.0113,0.0223,0.2427,0.003
Lee Sin,Shaco,64,35,2.68,2.8,0.523,0.527,15151,15390,0.4986,0.5014,0.5123,0.5114,0.2982,0.0741,0.4717,0.287
Kayn,Jax,141,24,2.58,2.24,0.501,0.441,17117,15439,0.553,0.447,0.4961,0.4894,0.0639,0.0052,0.013,0.0239
Lee Sin,Jarvan IV,64,59,2.85,3.13,0.544,0.607,15296,13148,0.506,0.494,0.5123,0.5015,0.2982,0.0237,0.4717,0.0007
Volibear,Warwick,106,19,2.96,2.44,0.512,0.515,13307,13080,0.5088,0.4912,0.5031,0.51,0.0147,0.0223,0.0476,0.003
Diana,Lee Sin,131,64,2.35,3.07,0.506,0.543,17677,14847,0.4949,0.5051,0.4855,0.5123,0.0876,0.2982,0.0866,0.4717
Lee Sin,Rengar,64,107,3.08,2.12,0.532,0.475,15293,15485,0.5772,0.4228,0.5123,0.4819,0.2982,0.0086,0.4717,0.0111
Nidalee,Viego,76,234,2.88,2.16,0.5,0.465,16890,14859,0.4995,0.5005,0.4819,0.4786,0.104,0.0718,0.0465,0.1371
