champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Nunu & Willump,Kindred,20,203,2.8,2.49,0.51,0.519,10031,18247,0.4867,0.5133,0.505,0.5016,0.0373,0.1107,0.011,0.0594
Graves,Sejuani,104,113,2.54,3.54,0.504,0.512,16589,12009,0.4523,0.5477,0.4524,0.5138,0.0537,0.0168,0.0228,0.0009
Warwick,Shyvana,19,102,2.74,2.43,0.498,0.475,13270,18103,0.5726,0.4274,0.51,0.4748,0.0223,0.0057,0.003,0.0008
Udyr,Rengar,77,107,3.08,2.17,0.483,0.445,11693,14208,0.5587,0.4413,0.4838,0.4819,0.0211,0.0086,0.0151,0.0111
Kha'Zix,Lillia,121,876,2.58,2.32,0.478,0.466,17750,15652,0.5519,0.4481,0.5083,0.454,0.0498,0.0152,0.0054,0.0037
Morgana,Olaf,25,2,3.07,2.36,0.511,0.486,16012,16110,0.5645,0.4355,0.5135,0.4805,0.0793,0.0198,0.485,0.0127
Shyvana,Rengar,102,107,2.5,2.41,0.457,0.457,18250,17263,0.5673,0.4327,0.4748,0.4819,0.0057,0.0086,0.0008,0.0111
Diana,Lee Sin,131,64,2.35,3.07,0.506,0.543,17677,14847,0.4949,0.5051,0.4855,0.5123,0.0876,0.2982,0.0866,0.4717
Jarvan IV,Warwick,59,19,3.16,2.57,0.599,0.529,13394,13955,0.4952,0.5048,0.5015,0.51,0.0237,0.0223,0.0007,0.003
Taliyah,Jarvan IV,163,59,2.58,3.16,0.527,0.594,17344,12144,0.5083,0.4917,0.5241,0.5015,0.0269,0.0237,0.0032,0.0007
Nocturne,Ekko,56,245,2.57,2.91,0.485,0.509,15195,17285,0.4893,0.5107,0.498,0.494,0.0378,0.0476,0.0236,0.0128
Fiddlesticks,Elise,9,60,2.83,2.65,0.513,0.502,16068,15172,0.5259,0.4741,0.5293,0.5268,0.0349,0.1231,0.0151,0.514
Ivern,Kindred,427,203,3.55,2.22,0.473,0.505,7039,15094,0.5233,0.4767,0.5256,0.5016,0.009,0.1107,0.0018,0.0594
Kindred,Shyvana,203,102,2.46,2.48,0.494,0.445,17616,15988,0.5242,0.4758,0.5016,0.4748,0.1107,0.0057,0.0594,0.0008
Lillia,Lee Sin,876,64,2.47,3.02,0.497,0.528,17233,15065,0.4595,0.5405,0.454,0.5123,0.0152,0.2982,0.0037,0.4717
Nidalee,Lillia,76,876,2.83,2.47,0.496,0.48,16816,16449,0.5199,0.4801,0.4819,0.454,0.104,0.0152,0.0465,0.0037
Graves,Trundle,104,48,2.56,2.91,0.478,0.486,16251,11346,0.4794,0.5206,0.4524,0.4991,0.0537,0.0085,0.0228,0.0007
Ekko,Nidalee,245,76,2.77,2.67,0.484,0.488,16875,17058,0.5367,0.4633,0.494,0.4819,0.0476,0.104,0.0128,0.0465
Elise,Amumu,60,32,2.72,2.54,0.494,0.481,15105,12444,0.4985,0.5015,0.5268,0.4848,0.1231,0.0063,0.514,0.0017
Rengar,Graves,107,104,2.33,2.37,0.462,0.46,15143,15869,0.5271,0.4729,0.4819,0.4524,0.0086,0.0537,0.0111,0.0228
Master Yi,Nocturne,11,56,2.06,2.71,0.469,0.489,16282,15030,0.4822,0.5178,0.466,0.498,0.023,0.0378,0.0052,0.0236
Rek'Sai,Nocturne,421,56,2.49,2.76,0.509,0.509,14429,14661,0.464,0.536,0.5038,0.498,0.0507,0.0378,0.0542,0.0236
Rammus,Gragas,33,79,2.97,3.22,0.502,0.512,12153,15635,0.4708,0.5292,0.5005,0.5147,0.0151,0.0191,0.0178,0.0032
Kayn,Rammus,141,33,2.62,2.99,0.501,0.503,17013,12827,0.4969,0.5031,0.4961,0.5005,0.0639,0.0151,0.013,0.0178
Rumble,Elise,68,60,2.52,2.89,0.524,0.502,17715,15514,0.4472,0.5528,0.4892,0.5268,0.1175,0.1231,0.2828,0.514
Hecarim,Shyvana,120,102,2.83,2.81,0.518,0.461,13306,18242,0.4402,0.5598,0.4491,0.4748,0.0182,0.0057,0.019,0.0008
Hecarim,Taliyah,120,163,2.71,2.67,0.508,0.527,13154,18680,0.465,0.535,0.4491,0.5241,0.0182,0.0269,0.019,0.0032
Xin Zhao,Morgana,5,25,2.35,2.95,0.474,0.515,15827,15130,0.5125,0.4875,0.5188,0.5135,0.0734,0.0793,0.0173,0.485
Gwen,Gragas,887,79,2.3,3.31,0.477,0.481,16106,14686,0.4267,0.5733,0.4859,0.5147,0.0113,0.0191,0.2427,0.0032
Gragas,Karthus,79,30,3.21,2.51,0.484,0.553,16821,26321,0.5,0.5,0.5147,0.522,0.0191,0.0283,0.0032,0.0393
Nocturne,Morgana,56,25,2.6,3.01,0.489,0.517,14993,16022,0.4853,0.5147,0.498,0.5135,0.0378,0.0793,0.0236,0.485
Diana,Rammus,131,33,2.57,3.03,0.511,0.52,17880,11810,0.5061,0.4939,0.4855,0.5005,0.0876,0.0151,0.0866,0.0178
Olaf,Morgana,2,25,2.36,3.07,0.486,0.511,16110,16012,0.4355,0.5645,0.4805,0.5135,0.0198,0.0793,0.0127,0.485
Kha'Zix,Morgana,121,25,2.5,2.8,0.478,0.498,17000,15056,0.491,0.509,0.5083,0.5135,0.0498,0.0793,0.0054,0.485
Evelynn,Kayn,28,141,3.04,2.34,0.511,0.485,20641,17734,0.5042,0.4958,0.5243,0.4961,0.0339,0.0639,0.0203,0.013
Sejuani,Nunu & Willump,113,20,3.52,3.02,0.541,0.548,13243,11656,0.5242,0.4758,0.5138,0.505,0.0168,0.0373,0.0009,0.011
Volibear,Nidalee,106,76,2.77,2.7,0.47,0.495,11804,16715,0.5204,0.4796,0.5031,0.4819,0.0147,0.104,0.0476,0.0465
Evelynn,Vi,28,254,2.99,2.5,0.511,0.472,18850,14133,0.4747,0.5253,0.5243,0.4944,0.0339,0.0131,0.0203,0.0008
Udyr,Lillia,77,876,2.89,2.62,0.454,0.49,10042,17358,0.548,0.452,0.4838,0.454,0.0211,0.0152,0.0151,0.0037
Jarvan IV,Jax,59,24,3.12,2.29,0.591,0.454,12332,14524,0.4747,0.5253,0.5015,0.4894,0.0237,0.0052,0.0007,0.0239
Warwick,Fiddlesticks,19,9,2.56,2.91,0.505,0.52,12856,16527,0.4843,0.5157,0.51,0.5293,0.0223,0.0349,0.003,0.0151
Poppy,Zac,78,154,2.96,3.54,0.523,0.522,15067,13584,0.4939,0.5061,0.4965,0.5129,0.0305,0.0361,0.0381,0.0073
Xin Zhao,Vi,5,254,2.46,2.37,0.493,0.489,15845,13696,0.5369,0.4631,0.5188,0.4944,0.0734,0.0131,0.0173,0.0008
Elise,Rengar,60,107,2.72,2.2,0.509,0.483,15503,15643,0.5547,0.4453,0.5268,0.4819,0.1231,0.0086,0.514,0.0111
Master Yi,Kindred,11,203,2.2,2.3,0.465,0.497,15825,16492,0.5101,0.4899,0.466,0.5016,0.023,0.1107,0.0052,0.0594
Vi,Karthus,254,30,2.53,2.58,0.459,0.562,13668,25275,0.4903,0.5097,0.4944,0.522,0.0131,0.0283,0.0008,0.0393
Nunu & Willump,Warwick,20,19,2.92,2.54,0.535,0.499,11264,12806,0.478,0.522,0.505,0.51,0.0373,0.0223,0.011,0.003
Olaf,Kha'Zix,2,121,2.37,2.6,0.475,0.492,15792,17561,0.4892,0.5108,0.4805,0.5083,0.0198,0.0498,0.0127,0.0054
Hecarim,Morgana,120,25,2.59,3.24,0.493,0.522,12963,16819,0.4377,0.5623,0.4491,0.5135,0.0182,0.0793,0.019,0.485
Lillia,Fiddlesticks,876,9,2.49,3.09,0.496,0.507,16210,16189,0.3848,0.6152,0.454,0.5293,0.0152,0.0349,0.0037,0.0151
Shyvana,Udyr,102,77,2.51,3.0,0.451,0.454,16630,10842,0.4884,0.5116,0.4748,0.4838,0.0057,0.0211,0.0008,0.0151
Vi,Ekko,254,245,2.59,2.92,0.474,0.516,14770,17000,0.521,0.479,0.4944,0.494,0.0131,0.0476,0.0008,0.0128
Taliyah,Diana,163,131,2.83,2.36,0.538,0.5,17513,16764,0.5223,0.4777,0.5241,0.4855,0.0269,0.0876,0.0032,0.0866
Rengar,Kindred,107,203,2.32,2.19,0.474,0.504,15970,17022,0.4943,0.5057,0.4819,0.5016,0.0086,0.1107,0.0111,0.0594
Volibear,Lee Sin,106,64,2.88,2.9,0.499,0.545,12883,14770,0.5152,0.4848,0.5031,0.5123,0.0147,0.2982,0.0476,0.4717
Rumble,Gwen,68,887,2.78,2.59,0.516,0.483,18617,17446,0.4996,0.5004,0.4892,0.4859,0.1175,0.0113,0.2828,0.2427
Elise,Kha'Zix,60,121,2.69,2.3,0.489,0.478,14815,15639,0.542,0.458,0.5268,0.5083,0.1231,0.0498,0.514,0.0054
Hecarim,Ekko,120,245,2.88,3.01,0.519,0.51,14697,17765,0.4347,0.5653,0.4491,0.494,0.0182,0.0476,0.019,0.0128
Olaf,Zac,2,154,2.47,3.78,0.496,0.537,18377,13904,0.4461,0.5539,0.4805,0.5129,0.0198,0.0361,0.0127,0.0073
Shyvana,Jax,102,24,2.67,2.64,0.466,0.437,18081,14371,0.4356,0.5644,0.4748,0.4894,0.0057,0.0052,0.0008,0.0239
Nunu & Willump,Volibear,20,106,3.12,2.9,0.541,0.499,11330,13072,0.5261,0.4739,0.505,0.5031,0.0373,0.0147,0.011,0.0476
Gragas,Nidalee,79,76,2.99,2.66,0.479,0.507,15092,16699,0.5348,0.4652,0.5147,0.4819,0.0191,0.104,0.0032,0.0465
Shyvana,Kayn,102,141,2.71,2.54,0.458,0.497,18638,17470,0.4678,0.5322,0.4748,0.4961,0.0057,0.0639,0.0008,0.013
Shaco,Zac,35,154,3.06,3.48,0.538,0.518,16541,14030,0.4921,0.5079,0.5114,0.5129,0.0741,0.0361,0.287,0.0073
Morgana,Sejuani,25,113,3.3,3.0,0.531,0.508,17733,11877,0.566,0.434,0.5135,0.5138,0.0793,0.0168,0.485,0.0009
Rumble,Gragas,68,79,2.73,3.05,0.53,0.493,19158,15690,0.4678,0.5322,0.4892,0.5147,0.1175,0.0191,0.2828,0.0032
Lillia,Shyvana,876,102,2.65,2.59,0.478,0.434,16472,17782,0.4903,0.5097,0.454,0.4748,0.0152,0.0057,0.0037,0.0008
Viego,Fiddlesticks,234,9,2.24,3.04,0.484,0.501,15130,16084,0.4442,0.5558,0.4786,0.5293,0.0718,0.0349,0.1371,0.0151
Rammus,Lee Sin,33,64,2.9,2.98,0.517,0.544,12280,14595,0.5127,0.4873,0.5005,0.5123,0.0151,0.2982,0.0178,0.4717
Rammus,Warwick,33,19,2.84,2.56,0.527,0.514,12986,13597,0.5077,0.4923,0.5005,0.51,0.0151,0.0223,0.0178,0.003
Nocturne,Elise,56,60,2.59,2.63,0.502,0.5,14478,15001,0.4943,0.5057,0.498,0.5268,0.0378,0.1231,0.0236,0.514
Gwen,Xin Zhao,887,5,2.43,2.41,0.481,0.485,16751,16658,0.4464,0.5536,0.4859,0.5188,0.0113,0.0734,0.2427,0.0173
Taliyah,Fiddlesticks,163,9,2.82,2.67,0.535,0.486,18618,15336,0.5131,0.4869,0.5241,0.5293,0.0269,0.0349,0.0032,0.0151
Jarvan IV,Gragas,59,79,3.48,2.89,0.602,0.493,13041,15797,0.5281,0.4719,0.5015,0.5147,0.0237,0.0191,0.0007,0.0032
Master Yi,Nunu & Willump,11,20,2.25,3.01,0.479,0.523,17097,10856,0.5007,0.4993,0.466,0.505,0.023,0.0373,0.0052,0.011
Hecarim,Wukong,120,62,2.93,2.87,0.523,0.509,14752,15942,0.4737,0.5263,0.4491,0.4928,0.0182,0.0079,0.019,0.0097
Ivern,Xin Zhao,427,5,3.64,2.25,0.482,0.486,7443,13835,0.5027,0.4973,0.5256,0.5188,0.009,0.0734,0.0018,0.0173
Amumu,Taliyah,32,163,2.25,2.83,0.448,0.555,12239,20137,0.4737,0.5263,0.4848,0.5241,0.0063,0.0269,0.0017,0.0032
Kha'Zix,Elise,121,60,2.3,2.69,0.478,0.489,15639,14815,0.458,0.542,0.5083,0.5268,0.0498,0.1231,0.0054,0.514
Ivern,Morgana,427,25,3.34,3.17,0.472,0.531,7780,15048,0.4901,0.5099,0.5256,0.5135,0.009,0.0793,0.0018,0.485
Kindred,Rek'Sai,203,421,2.23,2.53,0.512,0.499,16574,13543,0.5068,0.4932,0.5016,0.5038,0.1107,0.0507,0.0594,0.0542
Jax,Nidalee,24,76,2.26,2.81,0.445,0.492,14472,16558,0.5167,0.4833,0.4894,0.4819,0.0052,0.104,0.0239,0.0465
Kha'Zix,Udyr,121,77,2.57,2.8,0.49,0.468,16692,10719,0.4973,0.5027,0.5083,0.4838,0.0498,0.0211,0.0054,0.0151
Volibear,Jarvan IV,106,59,2.95,3.37,0.501,0.601,12891,12715,0.5302,0.4698,0.5031,0.5015,0.0147,0.0237,0.0476,0.0007
Rengar,Karthus,107,30,2.45,2.55,0.504,0.563,18670,26295,0.4846,0.5154,0.4819,0.522,0.0086,0.0283,0.0111,0.0393
Jarvan IV,Wukong,59,62,3.35,2.64,0.588,0.491,13091,15495,0.5415,0.4585,0.5015,0.4928,0.0237,0.0079,0.0007,0.0097
Evelynn,Udyr,28,77,2.92,2.78,0.511,0.459,19024,11200,0.4952,0.5048,0.5243,0.4838,0.0339,0.0211,0.0203,0.0151
Ekko,Gragas,245,79,2.87,2.97,0.515,0.487,17808,16477,0.5007,0.4993,0.494,0.5147,0.0476,0.0191,0.0128,0.0032
Ivern,Warwick,427,19,3.08,2.43,0.49,0.493,8578,11870,0.4662,0.5338,0.5256,0.51,0.009,0.0223,0.0018,0.003
Rek'Sai,Trundle,421,48,2.8,2.94,0.511,0.524,14986,12137,0.5278,0.4722,0.5038,0.4991,0.0507,0.0085,0.0542,0.0007
Kindred,Udyr,203,77,2.32,2.77,0.506,0.466,17137,9978,0.5185,0.4815,0.5016,0.4838,0.1107,0.0211,0.0594,0.0151
Hecarim,Kindred,120,203,2.59,2.42,0.503,0.512,12631,18194,0.4431,0.5569,0.4491,0.5016,0.0182,0.1107,0.019,0.0594
Morgana,Karthus,25,30,3.1,2.49,0.509,0.55,15927,24636,0.5092,0.4908,0.5135,0.522,0.0793,0.0283,0.485,0.0393
Zac,Nidalee,154,76,3.7,2.68,0.516,0.499,12797,17091,0.558,0.442,0.5129,0.4819,0.0361,0.104,0.0073,0.0465
Poppy,Rengar,78,107,3.18,2.21,0.508,0.451,13931,14766,0.5784,0.4216,0.4965,0.4819,0.0305,0.0086,0.0381,0.0111
Viego,Udyr,234,77,2.23,3.0,0.474,0.476,14869,10913,0.4847,0.5153,0.4786,0.4838,0.0718,0.0211,0.1371,0.0151
Graves,Olaf,104,2,2.63,2.38,0.492,0.457,16476,15259,0.4682,0.5318,0.4524,0.4805,0.0537,0.0198,0.0228,0.0127
Rek'Sai,Kayn,421,141,2.75,2.34,0.509,0.498,15644,16519,0.5143,0.4857,0.5038,0.4961,0.0507,0.0639,0.0542,0.013
Kayn,Lillia,141,876,2.49,2.46,0.49,0.479,17766,17093,0.5526,0.4474,0.4961,0.454,0.0639,0.0152,0.013,0.0037
Olaf,Warwick,2,19,2.56,2.43,0.505,0.509,17230,12985,0.516,0.484,0.4805,0.51,0.0198,0.0223,0.0127,0.003
Hecarim,Elise,120,60,2.64,2.89,0.518,0.504,13076,15755,0.4358,0.5642,0.4491,0.5268,0.0182,0.1231,0.019,0.514
Viego,Xin Zhao,234,5,2.31,2.4,0.492,0.491,15577,15931,0.4834,0.5166,0.4786,0.5188,0.0718,0.0734,0.1371,0.0173
Rumble,Master Yi,68,11,2.72,2.21,0.513,0.475,17464,16528,0.4827,0.5173,0.4892,0.466,0.1175,0.023,0.2828,0.0052
Rek'Sai,Zac,421,154,2.71,3.7,0.524,0.539,15792,13422,0.4637,0.5363,0.5038,0.5129,0.0507,0.0361,0.0542,0.0073
Master Yi,Kha'Zix,11,121,1.95,2.64,0.45,0.486,15396,17234,0.4935,0.5065,0.466,0.5083,0.023,0.0498,0.0052,0.0054
Warwick,Lillia,19,876,2.67,2.58,0.494,0.498,12826,17888,0.5563,0.4437,0.51,0.454,0.0223,0.0152,0.003,0.0037
Gwen,Zac,887,154,2.54,3.78,0.491,0.523,18461,13438,0.4623,0.5377,0.4859,0.5129,0.0113,0.0361,0.2427,0.0073
Gwen,Rumble,887,68,2.59,2.78,0.483,0.516,17446,18617,0.5004,0.4996,0.4859,0.4892,0.0113,0.1175,0.2427,0.2828
Rumble,Zac,68,154,2.73,3.77,0.535,0.529,20059,13637,0.4613,0.5387,0.4892,0.5129,0.1175,0.0361,0.2828,0.0073
Morgana,Rengar,25,107,2.72,2.37,0.498,0.467,15361,16780,0.5339,0.4661,0.5135,0.4819,0.0793,0.0086,0.485,0.0111
Olaf,Vi,2,254,2.73,2.33,0.496,0.462,16826,13503,0.5314,0.4686,0.4805,0.4944,0.0198,0.0131,0.0127,0.0008
Zac,Amumu,154,32,3.9,2.56,0.541,0.488,14007,14204,0.5455,0.4545,0.5129,0.4848,0.0361,0.0063,0.0073,0.0017
Wukong,Shaco,62,35,2.71,2.93,0.479,0.511,14685,14973,0.4946,0.5054,0.4928,0.5114,0.0079,0.0741,0.0097,0.287
Kayn,Kindred,141,203,2.3,2.38,0.486,0.507,16768,18607,0.4899,0.5101,0.4961,0.5016,0.0639,0.1107,0.013,0.0594
Vi,Xin Zhao,254,5,2.37,2.46,0.489,0.493,13696,15845,0.4631,0.5369,0.4944,0.5188,0.0131,0.0734,0.0008,0.0173
Gwen,Ivern,887,427,2.49,3.31,0.462,0.512,13746,7588,0.4848,0.5152,0.4859,0.5256,0.0113,0.009,0.2427,0.0018
Nunu & Willump,Master Yi,20,11,3.01,2.25,0.523,0.479,10856,17097,0.4993,0.5007,0.505,0.466,0.0373,0.023,0.011,0.0052
Poppy,Rammus,78,33,2.84,2.99,0.507,0.529,14035,12714,0.4872,0.5128,0.4965,0.5005,0.0305,0.0151,0.0381,0.0178
Lillia,Kayn,876,141,2.46,2.49,0.479,0.49,17093,17766,0.4474,0.5526,0.454,0.4961,0.0152,0.0639,0.0037,0.013
Shyvana,Zac,102,154,2.88,3.88,0.486,0.529,19650,13673,0.5164,0.4836,0.4748,0.5129,0.0057,0.0361,0.0008,0.0073
Olaf,Udyr,2,77,2.48,2.92,0.497,0.484,16434,10873,0.4908,0.5092,0.4805,0.4838,0.0198,0.0211,0.0127,0.0151
Ivern,Viego,427,234,3.46,2.23,0.472,0.463,7616,13681,0.5069,0.4931,0.5256,0.4786,0.009,0.0718,0.0018,0.1371
Gwen,Graves,887,104,2.54,2.58,0.451,0.482,16036,16376,0.518,0.482,0.4859,0.4524,0.0113,0.0537,0.2427,0.0228
Lee Sin,Udyr,64,77,2.91,2.8,0.536,0.477,14284,10924,0.5051,0.4949,0.5123,0.4838,0.2982,0.0211,0.4717,0.0151
Kha'Zix,Viego,121,234,2.63,2.12,0.484,0.465,17168,15137,0.516,0.484,0.5083,0.4786,0.0498,0.0718,0.0054,0.1371
Kindred,Evelynn,203,28,2.2,2.98,0.504,0.508,17456,18779,0.4769,0.5231,0.5016,0.5243,0.1107,0.0339,0.0594,0.0203
Trundle,Taliyah,48,163,2.81,2.77,0.489,0.529,11444,19620,0.5175,0.4825,0.4991,0.5241,0.0085,0.0269,0.0007,0.0032
Jax,Zac,24,154,2.2,4.26,0.461,0.521,15135,13947,0.4289,0.5711,0.4894,0.5129,0.0052,0.0361,0.0239,0.0073
Rek'Sai,Gragas,421,79,2.66,3.08,0.521,0.514,14686,15063,0.5221,0.4779,0.5038,0.5147,0.0507,0.0191,0.0542,0.0032
Master Yi,Nidalee,11,76,2.18,2.63,0.462,0.483,16138,15558,0.5359,0.4641,0.466,0.4819,0.023,0.104,0.0052,0.0465
Olaf,Elise,2,60,2.34,2.85,0.488,0.504,15938,15690,0.47,0.53,0.4805,0.5268,0.0198,0.1231,0.0127,0.514
Shaco,Ivern,35,427,2.8,3.11,0.516,0.45,13383,7597,0.4949,0.5051,0.5114,0.5256,0.0741,0.009,0.287,0.0018
Volibear,Kha'Zix,106,121,3.05,2.45,0.475,0.49,12608,16731,0.5488,0.4512,0.5031,0.5083,0.0147,0.0498,0.0476,0.0054
Shyvana,Amumu,102,32,2.77,2.67,0.472,0.462,17713,12317,0.5604,0.4396,0.4748,0.4848,0.0057,0.0063,0.0008,0.0017
Elise,Kindred,60,203,2.83,2.07,0.495,0.497,14560,15645,0.5384,0.4616,0.5268,0.5016,0.1231,0.1107,0.514,0.0594
Ivern,Rumble,427,68,3.75,2.61,0.492,0.523,8023,17664,0.5363,0.4637,0.5256,0.4892,0.009,0.1175,0.0018,0.2828
Warwick,Poppy,19,78,2.59,2.61,0.529,0.502,13765,14154,0.5309,0.4691,0.51,0.4965,0.0223,0.0305,0.003,0.0381
Diana,Taliyah,131,163,2.36,2.83,0.5,0.538,16764,17513,0.4777,0.5223,0.4855,0.5241,0.0876,0.0269,0.0866,0.0032
Warwick,Xin Zhao,19,5,2.59,2.19,0.515,0.492,13237,16168,0.524,0.476,0.51,0.5188,0.0223,0.0734,0.003,0.0173
Kindred,Kayn,203,141,2.38,2.3,0.507,0.486,18607,16768,0.5101,0.4899,0.5016,0.4961,0.1107,0.0639,0.0594,0.013
Master Yi,Shaco,11,35,1.85,3.23,0.449,0.517,15532,15460,0.4592,0.5408,0.466,0.5114,0.023,0.0741,0.0052,0.287
Zac,Evelynn,154,28,3.77,3.05,0.517,0.531,13719,20981,0.514,0.486,0.5129,0.5243,0.0361,0.0339,0.0073,0.0203
Nocturne,Kha'Zix,56,121,2.5,2.49,0.487,0.483,14930,17267,0.5058,0.4942,0.498,0.5083,0.0378,0.0498,0.0236,0.0054
Kindred,Rumble,203,68,2.34,2.61,0.504,0.511,17460,17481,0.5278,0.4722,0.5016,0.4892,0.1107,0.1175,0.0594,0.2828
Udyr,Sejuani,77,113,2.77,3.64,0.471,0.534,11058,13139,0.4495,0.5505,0.4838,0.5138,0.0211,0.0168,0.0151,0.0009
Amumu,Morgana,32,25,2.42,3.23,0.456,0.53,12241,17086,0.4667,0.5333,0.4848,0.5135,0.0063,0.0793,0.0017,0.485
Nunu & Willump,Elise,20,60,2.86,2.96,0.529,0.513,10452,15626,0.4766,0.5234,0.505,0.5268,0.0373,0.1231,0.011,0.514
Nocturne,Shyvana,56,102,2.9,2.56,0.505,0.461,15719,17767,0.4963,0.5037,0.498,0.4748,0.0378,0.0057,0.0236,0.0008
Poppy,Wukong,78,62,3.0,2.71,0.508,0.486,13293,13486,0.5212,0.4788,0.4965,0.4928,0.0305,0.0079,0.0381,0.0097
Fiddlesticks,Lillia,9,876,3.09,2.49,0.507,0.496,16189,16210,0.6152,0.3848,0.5293,0.454,0.0349,0.0152,0.0151,0.0037
Nocturne,Taliyah,56,163,2.63,2.72,0.496,0.535,14418,18289,0.4914,0.5086,0.498,0.5241,0.0378,0.0269,0.0236,0.0032
Rengar,Taliyah,107,163,2.44,2.45,0.489,0.534,17060,16782,0.4818,0.5182,0.4819,0.5241,0.0086,0.0269,0.0111,0.0032
Amumu,Xin Zhao,32,5,2.58,2.38,0.482,0.486,12735,16046,0.4859,0.5141,0.4848,0.5188,0.0063,0.0734,0.0017,0.0173
Shyvana,Evelynn,102,28,2.52,3.18,0.466,0.487,18596,19516,0.4439,0.5561,0.4748,0.5243,0.0057,0.0339,0.0008,0.0203
Gragas,Rammus,79,33,3.22,2.97,0.512,0.502,15635,12153,0.5292,0.4708,0.5147,0.5005,0.0191,0.0151,0.0032,0.0178
Ivern,Rengar,427,107,2.85,2.54,0.459,0.49,6819,13992,0.3836,0.6164,0.5256,0.4819,0.009,0.0086,0.0018,0.0111
Morgana,Elise,25,60,2.92,2.63,0.521,0.486,15622,14745,0.5012,0.4988,0.5135,0.5268,0.0793,0.1231,0.485,0.514
Rammus,Fiddlesticks,33,9,2.86,3.06,0.496,0.524,11500,16888,0.4977,0.5023,0.5005,0.5293,0.0151,0.0349,0.0178,0.0151
Kindred,Graves,203,104,2.35,2.37,0.492,0.465,16576,14609,0.5338,0.4662,0.5016,0.4524,0.1107,0.0537,0.0594,0.0228
Zac,Fiddlesticks,154,9,4.0,2.82,0.547,0.515,13855,16690,0.5062,0.4938,0.5129,0.5293,0.0361,0.0349,0.0073,0.0151
Amumu,Gragas,32,79,2.83,2.63,0.481,0.488,13951,15761,0.5642,0.4358,0.4848,0.5147,0.0063,0.0191,0.0017,0.0032
Hecarim,Viego,120,234,2.74,2.53,0.51,0.489,13322,17188,0.4415,0.5585,0.4491,0.4786,0.0182,0.0718,0.019,0.1371
Rammus,Rengar,33,107,3.04,2.39,0.531,0.485,14042,16666,0.5519,0.4481,0.5005,0.4819,0.0151,0.0086,0.0178,0.0111
Shaco,Kindred,35,203,3.11,1.98,0.519,0.484,14878,16893,0.5425,0.4575,0.5114,0.5016,0.0741,0.1107,0.287,0.0594
Lee Sin,Kindred,64,203,2.95,2.12,0.529,0.507,14180,17182,0.531,0.469,0.5123,0.5016,0.2982,0.1107,0.4717,0.0594
Diana,Master Yi,131,11,2.47,2.3,0.49,0.487,16562,16654,0.4992,0.5008,0.4855,0.466,0.0876,0.023,0.0866,0.0052
Shaco,Kayn,35,141,2.99,2.25,0.514,0.486,16044,18141,0.5042,0.4958,0.5114,0.4961,0.0741,0.0639,0.287,0.013
Gragas,Amumu,79,32,2.63,2.83,0.488,0.481,15761,13951,0.4358,0.5642,0.5147,0.4848,0.0191,0.0063,0.0032,0.0017
Ivern,Lee Sin,427,64,3.4,2.76,0.487,0.538,7804,13038,0.5073,0.4927,0.5256,0.5123,0.009,0.2982,0.0018,0.4717
Vi,Zac,254,154,2.5,3.76,0.487,0.524,14618,13502,0.4867,0.5133,0.4944,0.5129,0.0131,0.0361,0.0008,0.0073
Elise,Jarvan IV,60,59,2.6,3.18,0.504,0.61,15332,12625,0.4996,0.5004,0.5268,0.5015,0.1231,0.0237,0.514,0.0007
Warwick,Jarvan IV,19,59,2.57,3.16,0.529,0.599,13955,13394,0.5048,0.4952,0.51,0.5015,0.0223,0.0237,0.003,0.0007
Jarvan IV,Shyvana,59,102,3.58,2.35,0.564,0.45,12068,17137,0.5212,0.4788,0.5015,0.4748,0.0237,0.0057,0.0007,0.0008
Jarvan IV,Amumu,59,32,3.32,2.64,0.595,0.485,13481,14097,0.4713,0.5287,0.5015,0.4848,0.0237,0.0063,0.0007,0.0017
Diana,Udyr,131,77,2.35,3.14,0.498,0.481,16871,10853,0.486,0.514,0.4855,0.4838,0.0876,0.0211,0.0866,0.0151
Karthus,Evelynn,30,28,2.44,3.07,0.549,0.502,25439,20146,0.5147,0.4853,0.522,0.5243,0.0283,0.0339,0.0393,0.0203
Kindred,Rammus,203,33,2.31,2.82,0.513,0.501,17871,11895,0.4932,0.5068,0.5016,0.5005,0.1107,0.0151,0.0594,0.0178
Nidalee,Zac,76,154,2.68,3.7,0.499,0.516,17091,12797,0.442,0.558,0.4819,0.5129,0.104,0.0361,0.0465,0.0073
Ekko,Shyvana,245,102,3.12,2.52,0.497,0.436,17258,17910,0.4959,0.5041,0.494,0.4748,0.0476,0.0057,0.0128,0.0008
Shaco,Master Yi,35,11,3.23,1.85,0.517,0.449,15460,15532,0.5408,0.4592,0.5114,0.466,0.0741,0.023,0.287,0.0052
Elise,Sejuani,60,113,2.66,3.29,0.505,0.531,15124,12255,0.4838,0.5162,0.5268,0.5138,0.1231,0.0168,0.514,0.0009
Karthus,Sejuani,30,113,2.53,3.59,0.567,0.53,26693,12610,0.4934,0.5066,0.522,0.5138,0.0283,0.0168,0.0393,0.0009
