champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_first tower kill,counter_first tower kill,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate,position
Singed,Jax,27,24,2.12,1.62,0.4958,0.5042,0.409,0.337,18416.0,17732.0,0 days 00:17:23,0 days 00:17:12,0.5204,0.4796,0.5142,0.5016,0.0101,0.0422,0.0013,0.0243,top
Rengar,Gangplank,107,41,2.08,1.94,0.589,0.41100000000000003,0.391,0.38,18294.0,18290.0,0 days 00:16:37,0 days 00:17:45,0.56,0.44,0.501,0.4902,0.0175,0.0303,0.011000000000000001,0.0235,top
Kalista,Zac,429,154,1.17,3.38,0.3311,0.6689,0.34600000000000003,0.444,19436.0,14734.0,0 days 00:18:16,0 days 00:15:36,0.44299999999999995,0.557,0.43799999999999994,0.5113,0.0055,0.011000000000000001,0.0029,0.0074,top
Illaoi,Wukong,420,62,1.32,2.46,0.4258,0.5742,0.298,0.401,21194.0,17202.0,0 days 00:18:05,0 days 00:15:32,0.5016,0.4984,0.4889,0.5155,0.0081,0.0318,0.0031,0.0095,top
Illaoi,Nasus,420,75,1.57,2.11,0.5573,0.4427,0.324,0.336,26981.0,18514.0,0 days 00:19:21,0 days 00:14:56,0.4873,0.5127,0.4889,0.4941,0.0081,0.0166,0.0031,0.0043,top
Tryndamere,Shen,23,98,1.67,3.0,0.5537,0.4463,0.355,0.441,16554.0,14351.0,0 days 00:20:59,0 days 00:14:37,0.4472,0.5528,0.5069,0.5191,0.0164,0.0775,0.0044,0.1125,top
Cho'Gath,Sett,31,875,2.15,1.98,0.4863,0.5137,0.391,0.397,16300.0,20961.0,0 days 00:16:11,0 days 00:17:43,0.4752,0.5248,0.5029,0.5074,0.01,0.1382,0.001,0.1052,top
Poppy,Sylas,78,517,2.47,1.59,0.6008,0.3992,0.41,0.39,16699.0,15201.0,0 days 00:17:52,0 days 00:17:06,0.5638,0.4362,0.5177,0.5016,0.0274,0.1206,0.0383,0.242,top
Kayle,Vladimir,10,8,1.86,2.03,0.4382,0.5618,0.361,0.361,19093.0,19603.0,0 days 00:17:07,0 days 00:17:21,0.5056,0.4944,0.5077,0.498,0.0219,0.0342,0.0035,0.0247,top
Ryze,Sylas,13,517,1.7,1.98,0.4388,0.5612,0.355,0.40299999999999997,17910.0,16029.0,0 days 00:17:49,0 days 00:16:43,0.46299999999999997,0.537,0.4447,0.5022,0.0104,0.1205,0.0025,0.2411,top
Jayce,Lee Sin,126,64,1.77,2.21,0.4327,0.5673,0.39899999999999997,0.428,20804.0,15903.0,0 days 00:16:17,0 days 00:16:10,0.4722,0.5278,0.4811,0.5086,0.0719,0.0572,0.0497,0.4689,top
Poppy,Ryze,78,13,2.32,1.79,0.5765,0.4235,0.377,0.33799999999999997,13600.0,18479.0,0 days 00:16:33,0 days 00:19:49,0.4872,0.5128,0.5177,0.4426,0.0274,0.0104,0.0383,0.0025,top
Lee Sin,Renekton,64,58,1.96,2.07,0.4478,0.5522,0.42100000000000004,0.392,18236.0,16345.0,0 days 00:15:02,0 days 00:16:55,0.4903,0.5097,0.5086,0.4912,0.0572,0.08800000000000001,0.4689,0.1333,top
Irelia,Rumble,39,68,1.77,1.85,0.5888,0.4112,0.4,0.4,17923.0,17713.0,0 days 00:18:07,0 days 00:15:39,0.529,0.47100000000000003,0.4577,0.4868,0.0677,0.0289,0.1462,0.2814,top
Rumble,Kennen,68,85,2.03,2.19,0.5356,0.4644,0.405,0.384,18307.0,17350.0,0 days 00:19:12,0 days 00:17:34,0.4744,0.5256,0.4868,0.496,0.0289,0.0274,0.2814,0.0064,top
Shen,Nocturne,98,56,3.18,2.03,0.5405,0.4595,0.46799999999999997,0.425,12920.0,15257.0,0 days 00:15:56,0 days 00:20:59,0.4939,0.5061,0.5191,0.5331,0.0775,0.0142,0.1125,0.0231,top
Volibear,Kayle,106,10,2.32,1.75,0.6226,0.3774,0.384,0.379,13955.0,18073.0,0 days 00:17:07,0 days 00:17:43,0.4982,0.5018,0.5094,0.5077,0.0393,0.0219,0.0479,0.0035,top
Sett,Vayne,875,67,1.91,1.53,0.4966,0.5034,0.366,0.35200000000000004,13877.0,19454.0,0 days 00:16:49,0 days 00:16:32,0.4882,0.5118,0.5074,0.4963,0.1382,0.016,0.1052,0.0528,top
Akali,Trundle,84,48,2.07,1.78,0.5417,0.4583,0.395,0.365,19687.0,15610.0,0 days 00:16:00,0 days 00:17:34,0.4783,0.5217,0.4693,0.4938,0.0659,0.0065,0.2186,0.0007,top
Nocturne,Viego,56,234,2.06,1.77,0.6309,0.3691,0.4,0.39399999999999996,16085.0,17782.0,0 days 00:17:13,0 days 00:15:35,0.5245,0.4755,0.5331,0.4815,0.0142,0.0141,0.0231,0.1378,top
Fiora,Malphite,114,54,1.4,2.62,0.3963,0.6037,0.319,0.40399999999999997,14887.0,16199.0,0 days 00:17:36,0 days 00:17:10,0.4389,0.5611,0.508,0.5058,0.0525,0.046,0.0698,0.1194,top
Yone,Sylas,777,517,1.54,2.12,0.391,0.609,0.354,0.41100000000000003,18141.0,17035.0,0 days 00:16:27,0 days 00:16:27,0.4928,0.5072,0.4778,0.5022,0.0071,0.1205,0.052000000000000005,0.2411,top
Lee Sin,Sion,64,14,2.14,2.3,0.5715,0.4285,0.43799999999999994,0.425,19848.0,17517.0,0 days 00:17:38,0 days 00:17:05,0.4948,0.5052,0.5086,0.5135,0.0572,0.0301,0.4689,0.0051,top
Viego,Rumble,234,68,1.8,2.1,0.4912,0.5088,0.392,0.425,17335.0,20291.0,0 days 00:17:22,0 days 00:16:55,0.5159,0.4841,0.4815,0.4868,0.0141,0.0289,0.1378,0.2814,top
Maokai,Urgot,57,6,2.56,1.92,0.5354,0.4646,0.41100000000000003,0.391,14196.0,18419.0,0 days 00:17:02,0 days 00:18:02,0.5212,0.4788,0.5325,0.5006,0.0188,0.0178,0.0109,0.0019,top
Riven,Garen,92,86,1.91,2.16,0.5078,0.4922,0.37,0.379,16476.0,17531.0,0 days 00:16:00,0 days 00:17:43,0.484,0.516,0.5231,0.5028,0.04,0.0341,0.0043,0.0168,top
Renekton,Jayce,58,126,2.03,1.77,0.5393,0.4607,0.371,0.39799999999999996,13245.0,20970.0,0 days 00:16:42,0 days 00:15:33,0.5107,0.4893,0.4912,0.4811,0.08800000000000001,0.0719,0.1333,0.0497,top
Irelia,Lucian,39,236,1.75,1.56,0.5879,0.4121,0.371,0.373,15334.0,16418.0,0 days 00:16:36,0 days 00:15:34,0.5429999999999999,0.457,0.4577,0.4612,0.0677,0.0193,0.1462,0.0429,top
