champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_first tower kill,counter_first tower kill,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Twisted Fate,LeBlanc,4,7,2.07,3.16,0.3024,0.6976,0.438,0.467,14693,17037,0 days 00:18:18,0 days 00:17:40,0.5123,0.4877,0.4916,0.4971,0.0676,0.0821,0.0139,0.1215
Corki,Twisted Fate,42,4,2.58,2.45,0.5471,0.4529,0.47,0.457,22723,14324,0 days 00:17:59,0 days 00:17:14,0.5278,0.4722,0.5069,0.4916,0.0093,0.0676,0.0003,0.0139
Pantheon,Katarina,80,55,2.3,2.27,0.507,0.493,0.479,0.505,17807,18898,0 days 00:17:59,0 days 00:17:46,0.497,0.503,0.517,0.5115,0.0428,0.096,0.1064,0.1899
LeBlanc,Riven,7,92,2.89,1.75,0.5,0.5,0.444,0.377,16006,13900,0 days 00:17:45,0 days 00:18:09,0.5484,0.4516,0.4971,0.5219,0.0821,0.0064,0.1215,0.0043
Lucian,Lissandra,236,127,1.97,2.33,0.6648,0.3352,0.413,0.422,17784,14539,0 days 00:18:22,0 days 00:16:11,0.4735,0.5265,0.4617,0.5103,0.0463,0.0158,0.0429,0.0024
Jayce,Sylas,126,517,2.22,2.08,0.561,0.439,0.485,0.451,23851,17242,0 days 00:18:35,0 days 00:16:55,0.5525,0.4475,0.5113,0.4944,0.0174,0.1351,0.0497,0.242
Cho'Gath,Irelia,31,39,2.39,1.64,0.4551,0.5449,0.441,0.42,17577,18775,0 days 00:17:19,0 days 00:17:12,0.5569,0.4431,0.5178,0.454,0.0058,0.0348,0.001,0.1462
Sylas,Ekko,517,245,2.41,2.18,0.6698,0.3302,0.476,0.442,21338,20617,0 days 00:17:51,0 days 00:18:15,0.511,0.489,0.4944,0.513,0.1351,0.0287,0.242,0.0129
Renekton,Syndra,58,134,2.19,2.02,0.5743,0.4257,0.397,0.407,14114,17726,0 days 00:18:19,0 days 00:16:33,0.5581,0.4419,0.4974,0.4653,0.0196,0.0152,0.1333,0.0024
Akali,Xerath,84,101,2.4,2.83,0.6028,0.3972,0.428,0.474,18580,23923,0 days 00:18:20,0 days 00:19:39,0.5008,0.4992,0.4776,0.5026,0.0869,0.0391,0.2186,0.0496
Gwen,Lux,887,99,1.9,3.02,0.5039,0.4961,0.38,0.482,16280,18921,0 days 00:17:19,0 days 00:18:07,0.524,0.476,0.4874,0.4811,0.0118,0.0125,0.2419,0.0037
Orianna,Wukong,61,62,2.55,2.39,0.3861,0.6139,0.468,0.411,15994,15441,0 days 00:17:25,0 days 00:17:10,0.434,0.566,0.4652,0.5194,0.0305,0.0054,0.003,0.0095
Orianna,Viktor,61,112,2.7,2.45,0.5306,0.4694,0.439,0.407,15785,20407,0 days 00:18:04,0 days 00:18:39,0.4496,0.5504,0.4652,0.5027,0.0305,0.0552,0.003,0.0086
Viego,Malzahar,234,90,2.18,2.45,0.5916,0.4084,0.428,0.42,15575,18799,0 days 00:16:59,0 days 00:18:16,0.491,0.509,0.5035,0.5242,0.053,0.0138,0.1378,0.0045
Yone,Wukong,777,62,1.77,2.44,0.3702,0.6298,0.4,0.426,18342,17036,0 days 00:16:48,0 days 00:17:24,0.4907,0.5093,0.4847,0.5194,0.0629,0.0054,0.0515,0.0095
Renekton,Wukong,58,62,2.36,2.36,0.5606,0.4394,0.431,0.455,17202,17735,0 days 00:18:47,0 days 00:15:36,0.5526,0.4474,0.4974,0.5194,0.0196,0.0054,0.1333,0.0095
Irelia,Corki,39,42,1.94,2.29,0.7387,0.2613,0.426,0.48,18265,24200,0 days 00:18:31,0 days 00:16:38,0.4722,0.5278,0.454,0.5069,0.0348,0.0093,0.1462,0.0003
Kassadin,Rumble,38,68,2.57,2.13,0.5986,0.4014,0.472,0.449,18898,18747,0 days 00:17:26,0 days 00:18:27,0.5091,0.4909,0.5068,0.5117,0.0247,0.0228,0.0122,0.2814
Kled,Twisted Fate,240,4,2.66,2.36,0.7124,0.2876,0.477,0.466,15433,14640,0 days 00:16:55,0 days 00:16:30,0.5,0.5,0.5388,0.4916,0.009,0.0676,0.0122,0.0139
Yone,Annie,777,1,1.83,2.62,0.4932,0.5068,0.397,0.465,16898,20086,0 days 00:18:22,0 days 00:17:13,0.4653,0.5347,0.4847,0.5412,0.0629,0.0109,0.0515,0.0012
Veigar,Rumble,45,68,2.61,2.18,0.5099,0.4901,0.46,0.468,20784,20927,0 days 00:18:11,0 days 00:17:50,0.5591,0.4409,0.4841,0.5117,0.006,0.0228,0.0007,0.2814
Azir,Cassiopeia,268,69,2.2,2.22,0.551,0.449,0.418,0.429,18074,17846,0 days 00:18:16,0 days 00:17:31,0.378,0.622,0.4874,0.5078,0.0092,0.0134,0.0006,0.0039
Azir,Ahri,268,103,1.99,2.71,0.4756,0.5244,0.401,0.433,18904,16805,0 days 00:18:29,0 days 00:18:38,0.4706,0.5294,0.4874,0.5163,0.0092,0.0383,0.0006,0.004
Kled,Jayce,240,126,2.83,2.02,0.4285,0.5715,0.5,0.439,15875,20555,0 days 00:17:12,0 days 00:16:47,0.5513,0.4487,0.5388,0.5113,0.009,0.0174,0.0122,0.0497
Tristana,Syndra,18,134,1.95,2.18,0.5316,0.4684,0.416,0.39,14327,15127,0 days 00:17:03,0 days 00:16:03,0.5054,0.4946,0.5027,0.4653,0.0094,0.0152,0.0498,0.0024
Talon,Akali,91,84,2.28,2.04,0.5797,0.4203,0.467,0.417,22022,19224,0 days 00:19:17,0 days 00:18:03,0.53,0.47,0.5156,0.4776,0.0862,0.0869,0.183,0.2186
Viego,Riven,234,92,1.9,1.92,0.4401,0.5599,0.434,0.394,17008,15483,0 days 00:16:49,0 days 00:16:57,0.4985,0.5015,0.5035,0.5219,0.053,0.0064,0.1378,0.0043
Renekton,Vladimir,58,8,2.11,2.29,0.5744,0.4256,0.397,0.421,15835,21973,0 days 00:18:23,0 days 00:16:31,0.4951,0.5049,0.4974,0.4893,0.0196,0.0362,0.1333,0.0247
Kassadin,Kled,38,240,1.9,3.18,0.2266,0.7734,0.414,0.475,16079,16210,0 days 00:16:09,0 days 00:18:02,0.3725,0.6275,0.5068,0.5388,0.0247,0.009,0.0122,0.0122
Malzahar,Katarina,90,55,2.24,2.41,0.3802,0.6198,0.411,0.479,17300,17881,0 days 00:18:35,0 days 00:16:39,0.502,0.498,0.5242,0.5115,0.0138,0.096,0.0045,0.1899
Viktor,Twisted Fate,112,4,2.63,2.47,0.6112,0.3888,0.445,0.447,21665,13509,0 days 00:18:12,0 days 00:17:31,0.5182,0.4818,0.5027,0.4916,0.0552,0.0676,0.0086,0.0139
Nocturne,Ryze,56,13,2.59,1.87,0.65,0.35,0.444,0.4,14956,16849,0 days 00:17:18,0 days 00:17:06,0.5911,0.4089,0.5215,0.4512,0.015,0.0154,0.0231,0.0025
Diana,Garen,131,86,1.91,2.61,0.4025,0.5975,0.434,0.409,17872,15572,0 days 00:16:02,0 days 00:17:42,0.4856,0.5144,0.4857,0.5101,0.0194,0.0099,0.0887,0.0168
Malphite,Zed,54,238,2.58,2.15,0.499,0.501,0.446,0.44,16517,18411,0 days 00:18:22,0 days 00:18:26,0.5367,0.4633,0.5346,0.5001,0.0129,0.126,0.1194,0.4129
Zoe,Ahri,142,103,2.29,2.52,0.5502,0.4498,0.441,0.43,18747,16533,0 days 00:18:13,0 days 00:18:06,0.4651,0.5349,0.5021,0.5163,0.042,0.0383,0.0294,0.004
Galio,Zoe,3,142,2.89,2.49,0.3779,0.6221,0.465,0.451,13221,17179,0 days 00:17:45,0 days 00:18:35,0.5546,0.4454,0.5129,0.5021,0.0479,0.042,0.0386,0.0294
Annie,Garen,1,86,2.33,2.48,0.4546,0.5454,0.437,0.379,18255,12980,0 days 00:16:33,0 days 00:18:09,0.4725,0.5275,0.5412,0.5101,0.0109,0.0099,0.0012,0.0168
